Type,GlobalId,ArchiCADProperties:Element ID,ArchiCADProperties:Hotlink und Element-ID,ArchiCADProperties:Ebene,ArchiCADProperties:Bibliothekselement-Name,ArchiCADProperties:Eindeutige ID,ArchiCADProperties:ARCHICAD IFC ID,ArchiCADProperties:Externe IFC ID,ArchiCADProperties:Kollidierende Räume,ArchiCADProperties:Zugehöriger Raumname,ArchiCADProperties:Zugehörige Raumnummer,ArchiCADProperties:Geschützt,ArchiCADProperties:Verknüpfte Änderungen,ArchiCADProperties:Ursprungsgeschoss Name,ArchiCADProperties:Ursprungsgeschoss Nummer,ArchiCADProperties:Name des Eigenschafts-Objekts,ArchiCADProperties:Element-Typ,ArchiCADProperties:Absolutes Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Relatives Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Überobjekt-ID,ArchiCADProperties:Baustoffe (Alle),ArchiCADProperties:Oberfläche (Alle),ArchiCADProperties:Hotlink Master-ID,ArchiCADProperties:Deckschraffur,ArchiCADProperties:Umbau-Status,ArchiCADProperties:Anzeigen auf Umbau-Filter,ArchiCADProperties:Oberfläche,ArchiCADProperties:Einheitliche Oberfläche,ArchiCADProperties:Raumname,ArchiCADProperties:Raumnummer,ArchiCADProperties:Raumkategoriename,ArchiCADProperties:Raumkategoriecode,ArchiCADProperties:Verbundene 3D Element(e),ArchiCADProperties:ARCHICAD Klassifizierung - v2.0,IfcWallCommon:ElementID
IfcBuildingElementProxy,1dsYtKm0KfJfvQYSiSnwno,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,67DA2DD4-C005-294E-9E5A-89CB1CC7AC72,1dsYtKm0KfJfvQYSiSnwno,,Nebenräume / Massivbau ui; Tiefgarage; Tiefgarage MAS,Tiefgarage MAS,Tiefgarage,False,,EG,0,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcWindow,2pja_SMK9QJ95oFEKGOj2O,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,B3B64F9C-5942-5A4C-9172-3CE51062D098,2pja_SMK9QJ95oFEKGOj2O,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWindow,1x1p$evCHxHPAW3Co_ix4N,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,7B073FE8-E4C4-7B45-92A0-0CCCBEB3B117,1x1p$evCHxHPAW3Co_ix4N,,Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Zimmer,10,False,,DG,5,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,29dunAsVrRJ9jLB4nsHa8L,tbd,tbd,010 Aussenwände,,899F8C4A-D9FD-5B4C-9B55-2C4C76464215,29dunAsVrRJ9jLB4nsHa8L,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,04$FEZ925RIvEmxFsLTIUk,tbd,tbd,015 Wohnungstrennwände / Kernwände,,04FCF3A3-2421-5B4B-93B0-ECFD957527AE,04$FEZ925RIvEmxFsLTIUk,,Gewerbe; Gewerbe; Gewerbe / Massivbau ui; Gewerbe MAS; Nebenräume; Nebenräume / Massivbau ui; Schutzraum / Keller; Tiefgarage / Massivbau ui; Tiefgarage MAS; Verkauf,Nebenräume,Nebenräume,False,,UG,-1,,Wand,EG,Ursprung + 1,Ursprung + 1 (EG),tbd,"Massivbau Beton, Stahlbeton 705; Verputz, Innen 150",FMK Verputz Innenräume; FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0c_NPQS2p$GwdugXvjwk2Z,tbd,tbd,015 Wohnungstrennwände / Kernwände,,26F9765A-702C-FF43-A9F8-AA1E6DEAE0A3,0c_NPQS2p$GwdugXvjwk2Z,,Nebenräume; Nebenräume / Massivbau ui,Nebenräume,Nebenräume,False,,UG,-1,,Wand,EG,Ursprung + 1,Ursprung + 1 (EG),tbd,"MW, Kalksandstein","MW Kalksandstein, 2DF",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1SWWb0YckJIhBAt0VHvTel,tbd,tbd,015 Wohnungstrennwände / Kernwände,,5C820940-8A6B-934A-B2CA-DC07D1E5DA2F,1SWWb0YckJIhBAt0VHvTel,,Tiefgarage / Massivbau ui; Tiefgarage MAS; Verkauf; Verkauf,Tiefgarage,9,False,,UG,-1,,Wand,EG,Ursprung + 1,Ursprung + 1 (EG),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcBuildingElementProxy,3BSnDajGW0JBRVbKrZgV6k,Morph-009,Morph-009,025 Decken Balkone,,CB731364-B508-004C-B6DF-954D63A9F1AE,3BSnDajGW0JBRVbKrZgV6k,,,Balkon,Balkon,False,,OG2,2,,Morph,,,,Morph-009,"Beton, Sichtbeton","Beton Sichtbeton, Löcher",,,Bestand,Alle relevanten Filter,"Beton Sichtbeton, Löcher",,,,,,,Bauteil / Bauelement - beliebig,
IfcWindow,26kaSJb79CJwjuSVDygg0z,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,86BA4713-9472-4C4F-AB78-71F37CAAA03D,26kaSJb79CJwjuSVDygg0z,,Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Zimmer,11,False,,DG,5,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,0QCXBv5hUdJAFaUGfsVMKH,tbd,tbd,010 Aussenwände,,1A3212F9-16B7-A74C-A3E4-790A767D6511,0QCXBv5hUdJAFaUGfsVMKH,,(Wohnen); Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
