Type,GlobalId,ArchiCADProperties:Element ID,ArchiCADProperties:Hotlink und Element-ID,ArchiCADProperties:Ebene,ArchiCADProperties:Bibliothekselement-Name,ArchiCADProperties:Eindeutige ID,ArchiCADProperties:ARCHICAD IFC ID,ArchiCADProperties:Externe IFC ID,ArchiCADProperties:Kollidierende Räume,ArchiCADProperties:Zugehöriger Raumname,ArchiCADProperties:Zugehörige Raumnummer,ArchiCADProperties:Geschützt,ArchiCADProperties:Verknüpfte Änderungen,ArchiCADProperties:Ursprungsgeschoss Name,ArchiCADProperties:Ursprungsgeschoss Nummer,ArchiCADProperties:Name des Eigenschafts-Objekts,ArchiCADProperties:Element-Typ,ArchiCADProperties:Absolutes Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Relatives Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Überobjekt-ID,ArchiCADProperties:Baustoffe (Alle),ArchiCADProperties:Oberfläche (Alle),ArchiCADProperties:Hotlink Master-ID,ArchiCADProperties:Deckschraffur,ArchiCADProperties:Umbau-Status,ArchiCADProperties:Anzeigen auf Umbau-Filter,ArchiCADProperties:Oberfläche,ArchiCADProperties:Einheitliche Oberfläche,ArchiCADProperties:Raumname,ArchiCADProperties:Raumnummer,ArchiCADProperties:Raumkategoriename,ArchiCADProperties:Raumkategoriecode,ArchiCADProperties:Verbundene 3D Element(e),ArchiCADProperties:ARCHICAD Klassifizierung - v2.0,IfcWallCommon:ElementID
IfcWall,0IhwLSU$eFGOOkLcMnT$et,tbd,tbd,016 Innenwände ,,12AFA55C-7BFA-0F41-862E-5665B177FA37,0IhwLSU$eFGOOkLcMnT$et,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,0EtOSWZQG4IeehoQk04kGe,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,0EDD8720-8DA4-044A-8A2B-C9AB8012E428,0EtOSWZQG4IeehoQk04kGe,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnen/Essen,3,False,,OG2,2,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,3t3EP5U3CeGh6WArRCRssU,tbd,tbd,015 Wohnungstrennwände / Kernwände,,F70CE645-7833-2842-B1A0-2B56CC6F6D9E,3t3EP5U3CeGh6WArRCRssU,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen/Essen,3,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1_8Bq5Hvs2HPmbcrQPmacu,tbd,tbd,016 Innenwände ,,7E20BD05-479D-8245-9C25-9B5699C249B8,1_8Bq5Hvs2HPmbcrQPmacu,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsplatte 320",FMK Verputz Innenräume,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3SRc5p3y49JRu$TwYbeHpn,tbd,tbd,016 Innenwände ,,DC6E6173-0FC1-094D-BE3F-77A8A5A11CF1,3SRc5p3y49JRu$TwYbeHpn,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3jNnngeqkrGAc58u6r10o2,tbd,tbd,015 Wohnungstrennwände / Kernwände,,ED5F1C6A-A34B-B540-A985-2381B5040C82,3jNnngeqkrGAc58u6r10o2,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsfaserplatte 600; Holzkonstruktion (Dämmung) 650; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 600; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0bAQOKJGbuIR9nJy0y5OvB,tbd,tbd,016 Innenwände ,,2529A614-4D09-7849-B271-4FC03C158E4B,0bAQOKJGbuIR9nJy0y5OvB,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1755r$lTDHJBNOpX7sQkOr,tbd,tbd,050 Geländer Fenster,,47145D7F-BDD3-514C-B5D8-CE11F66AE635,1755r$lTDHJBNOpX7sQkOr,,Wohnen / Holzbau; Wohnen HOL,Wohnen HOL,Wohnen,False,,OG2,2,,Wand,Nicht verknüpft,Nicht verknüpft,Nicht verknüpft,tbd,Glas,Glas Normalglas Brüstung,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,13bIHcYdg2I9Y$MIpKwvHC,tbd,tbd,016 Innenwände ,,43952466-8A7A-8248-98BF-592CD4EB944C,13bIHcYdg2I9Y$MIpKwvHC,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,2fLbBKDLJjIA0_Yha4BAuM,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,A95652D4-3554-ED48-A03E-8AB9042CAE16,2fLbBKDLJjIA0_Yha4BAuM,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnung,,False,,OG2,2,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,1a5mxKlAGnIu7Ynyq2FiE2,tbd,tbd,016 Innenwände ,,64170ED4-BCA4-314B-81E2-C7CD023EC382,1a5mxKlAGnIu7Ynyq2FiE2,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0yg4N7dR9iHh2VULLEDBxR,tbd,tbd,015 Wohnungstrennwände / Kernwände,,3CA845C7-9DB2-6C46-B09F-79554E34BEDB,0yg4N7dR9iHh2VULLEDBxR,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1oSaI2oYKGHfXQrWtvbIZa,tbd,tbd,010 Aussenwände,,72724482-CA25-1046-985A-D60DF99528E4,1oSaI2oYKGHfXQrWtvbIZa,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Dämmung MW Brandmauer; MW, Kalksandstein 650; Verputz, Innen","Verputz, glatt, weiss; MW Kalksandstein, 2DF; 15 Farbe gelb (SP); FMK Holzfassade",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3br$Q3y6KyGQ9IoHFhY_8v,tbd,tbd,015 Wohnungstrennwände / Kernwände,,E5D7F683-F065-3C41-A252-C913EB8BE239,3br$Q3y6KyGQ9IoHFhY_8v,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Dämmung MW Brandmauer; MW, Kalksandstein 650; Verputz, Innen","Verputz, glatt, weiss; MW Kalksandstein, 2DF; 15 Farbe gelb (SP)",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,26CFbJfmszHf5Q37w4tZhy,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,8630F953-A70D-BD46-915A-0C7E84DE3AFC,26CFbJfmszHf5Q37w4tZhy,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,1ZfhZrrXVQGP7w9_APtPVO,tbd,tbd,010 Aussenwände,,63A6B8F5-D617-DA41-91FA-27E299DD97D8,1ZfhZrrXVQGP7w9_APtPVO,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Dämmung MW Brandmauer; MW, Kalksandstein 650; Verputz, Innen","Verputz, glatt, weiss; MW Kalksandstein, 2DF; 15 Farbe gelb (SP); FMK Holzfassade",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0thBIXEtgjJh0_f5ctzwPT,tbd,tbd,016 Innenwände ,,37ACB4A1-3B7A-AD4E-B03E-A459B7F7A65D,0thBIXEtgjJh0_f5ctzwPT,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnung,,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsplatte 320",FMK Verputz Innenräume,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1$lEa2cDEbJwZhz_jnDiMC,tbd,tbd,010 Aussenwände,,7FBCE902-98D3-A54F-A8EB-F7EB7136C58C,1$lEa2cDEbJwZhz_jnDiMC,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,2J8Z9biyJVJBM6DcMut9jU,tbd,tbd,016 Innenwände ,Blockrahmen 1 24,93223265-B3C4-DF4C-B586-3665B8DC9B5E,2J8Z9biyJVJBM6DcMut9jU,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen HOL; Wohnung,Bad,4,False,,DG,5,,Tür,,,,tbd,,FMK Innentüre; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,2WaM9Q6L2YGOnBEDdmcjYC,tbd,tbd,016 Innenwände ,,A091625A-1950-A241-8C4B-38D9F09AD88C,2WaM9Q6L2YGOnBEDdmcjYC,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,28oqnXOTCHGwBy2cvUuO7x,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,88CB4C61-61D3-1143-A2FC-0A6E5EE181FB,28oqnXOTCHGwBy2cvUuO7x,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnung,,False,,OG2,2,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,1Bvo0QFGznJPKLGaOj1d$Z,tbd,tbd,015 Wohnungstrennwände / Kernwände,,4BE7201A-3D0F-714D-9515-42462D067FE3,1Bvo0QFGznJPKLGaOj1d$Z,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,03ylOEUwlwGhIBNrcCnIqH,tbd,tbd,010 Aussenwände,,03F2F60E-7BAB-FA42-B48B-5F598CC52D11,03ylOEUwlwGhIBNrcCnIqH,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0DK4Y$2MrcH8aXdYW4XB78,tbd,tbd,010 Aussenwände,,0D5048BF-096D-6644-8921-9E280484B1C8,0DK4Y$2MrcH8aXdYW4XB78,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,2xXIeDSnq2I9C79jVdLhVv,tbd,tbd,015 Wohnungstrennwände / Kernwände,,BB852A0D-731D-0248-9307-26D7E756B7F9,2xXIeDSnq2I9C79jVdLhVv,,Schacht; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsfaserplatte 600; Holzkonstruktion (Dämmung) 650; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 600; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,08j1QDjqw1HA1YnmJB_4M1,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,08B4168D-B74E-8144-A062-C704CBF84581,08j1QDjqw1HA1YnmJB_4M1,,Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,DG,5,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWindow,0QYM_fXHeSI9SV9ugmOCee,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,1A896FA9-851A-1C48-971F-278AB060CA28,0QYM_fXHeSI9SV9ugmOCee,,Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Zimmer,10,False,,DG,5,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,1O1bnI0q9KJex$VY9nP3gx,tbd,tbd,010 Aussenwände,,58065C52-0342-544E-8EFF-7E2271643ABB,1O1bnI0q9KJex$VY9nP3gx,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,2J61cTyfQKHfEJhrhQZi5o,Fen.Nr.,Fen.Nr.,010 Aussenwände,1-Flügelfenster 24,9318199D-F296-9446-9393-AF5ADA8EC172,2J61cTyfQKHfEJhrhQZi5o,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,DG,5,,Fenster,,,,tbd,,Glas Normalglas; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWindow,3x$OQFgc7SIhQdt2Z2MtL1,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,FBFD868F-AA61-DC4A-B6A7-DC28C25B7541,3x$OQFgc7SIhQdt2Z2MtL1,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,3Y$HcpX0YrGeo_sVcONmSg,tbd,tbd,010 Aussenwände,,E2FD19B3-8408-B542-8CBE-D9F9985F072A,3Y$HcpX0YrGeo_sVcONmSg,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,3NmxsSouKPHRs7cGbnNl4B,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,D7C3BD9C-CB85-1945-BD87-9909715EF10B,3NmxsSouKPHRs7cGbnNl4B,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,1lBZgUc5CQIuQv_CsnG5Nk,tbd,tbd,016 Innenwände ,,6F2E3A9E-9853-1A4B-86B9-F8CDB14055EE,1lBZgUc5CQIuQv_CsnG5Nk,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsplatte 320",FMK Verputz Innenräume,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3rQPpKtqg8Jv3z4AzWwWBg,tbd,tbd,016 Innenwände ,,F5699CD4-DF4A-884F-90FD-10AF60EA02EA,3rQPpKtqg8Jv3z4AzWwWBg,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,00TRMuBm7rGP6DqcWHJRL8,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,0075B5B8-2F01-F541-918D-D268114DB548,00TRMuBm7rGP6DqcWHJRL8,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Zimmer,11,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,3A0xe1En_lGOhCE2f8UhzH,tbd,tbd,016 Innenwände ,,CA03BA01-3B1F-AF41-8ACC-382A487ABF51,3A0xe1En_lGOhCE2f8UhzH,,(Wohnen); Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsplatte 320",FMK Verputz Innenräume,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,1RS1y5i_$WJOB$hP$$CFLi,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,5B701F05-B3EF-E04D-82FF-AD9FFF30F56C,1RS1y5i_$WJOB$hP$$CFLi,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Zimmer,10,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWindow,1hKUaprv7JGuWKsfqCXvX$,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,6B51E933-D791-D343-8814-DA9D0C87987F,1hKUaprv7JGuWKsfqCXvX$,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,2SIraKLT8qIvWoqBscIIxU,tbd,tbd,015 Wohnungstrennwände / Kernwände,,9C4B5914-55D2-344B-9832-D0BDA6492EDE,2SIraKLT8qIvWoqBscIIxU,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,3AZWxL3rohIRGCRUYPh$KZ,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,CA8E0ED5-0F5C-AB49-B40C-6DE899AFF523,3AZWxL3rohIRGCRUYPh$KZ,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcDoor,2E6d4pvvJFHAJKN2RsXBAw,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Teleskoptür 24,8E1A7133-E794-CF44-A4D4-5C26F684B2BA,2E6d4pvvJFHAJKN2RsXBAw,,Lift; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Treppenhaus,1,False,,DG,5,,Tür,,,,tbd,,"Metall Chrom; 1805_Fassadenputz; Farbe, grau",,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,0N2UgN_JA3IwJhInGSArvQ,tbd,tbd,015 Wohnungstrennwände / Kernwände,,1709EA97-F932-834B-A4EB-4B141C2B5E5A,0N2UgN_JA3IwJhInGSArvQ,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,0ZRreKndlRIPCF7MOQNoQ5,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,236F5A14-C67B-DB49-930F-1D661A5F2685,0ZRreKndlRIPCF7MOQNoQ5,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Holzfassade; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
